captured_utc,player,market,side,line,odds
2026-06-24T10:26:26+00:00,kayla mcbride,pts,Over,14.5,1.893
2026-06-24T10:26:26+00:00,kayla mcbride,pts,Under,14.5,1.893
2026-06-24T10:26:26+00:00,kayla mcbride,pa,Over,17.5,1.83
2026-06-24T10:26:26+00:00,kayla mcbride,pa,Under,17.5,1.83
2026-06-24T10:26:26+00:00,kayla mcbride,ra,Over,5.5,1.67
2026-06-24T10:26:26+00:00,kayla mcbride,ra,Under,5.5,2.1
2026-06-24T10:26:26+00:00,kayla mcbride,reb,Over,2.5,1.62
2026-06-24T10:26:26+00:00,kayla mcbride,reb,Under,2.5,2.15
2026-06-24T10:26:26+00:00,kayla mcbride,ast,Over,2.5,1.63
2026-06-24T10:26:26+00:00,kayla mcbride,ast,Under,2.5,2.15
2026-06-24T10:26:26+00:00,kayla mcbride,pra,Over,20.5,1.893
2026-06-24T10:26:26+00:00,kayla mcbride,pra,Under,20.5,1.893
2026-06-24T10:26:26+00:00,courtney williams,pts,Over,15.5,1.87
2026-06-24T10:26:26+00:00,courtney williams,pts,Under,15.5,1.909
2026-06-24T10:26:26+00:00,courtney williams,pr,Over,20.5,1.8
2026-06-24T10:26:26+00:00,courtney williams,pr,Under,20.5,1.91
2026-06-24T10:26:26+00:00,courtney williams,pa,Over,20.5,2.0
2026-06-24T10:26:26+00:00,courtney williams,pa,Under,20.5,1.73
2026-06-24T10:26:26+00:00,courtney williams,ra,Over,9.5,2.1
2026-06-24T10:26:26+00:00,courtney williams,ra,Under,9.5,1.67
2026-06-24T10:26:26+00:00,courtney williams,reb,Over,4.5,1.72
2026-06-24T10:26:26+00:00,courtney williams,reb,Under,4.5,2.0
2026-06-24T10:26:26+00:00,courtney williams,ast,Over,4.5,2.25
2026-06-24T10:26:26+00:00,courtney williams,ast,Under,4.5,1.57
2026-06-24T10:26:26+00:00,courtney williams,pra,Over,24.5,1.833
2026-06-24T10:26:26+00:00,courtney williams,pra,Over,25.5,2.0
2026-06-24T10:26:26+00:00,courtney williams,pra,Under,24.5,1.952
2026-06-24T10:26:26+00:00,courtney williams,pra,Under,25.5,1.73
2026-06-24T10:26:26+00:00,natasha howard,pts,Over,15.5,1.952
2026-06-24T10:26:26+00:00,natasha howard,pts,Under,15.5,1.833
2026-06-24T10:26:26+00:00,natasha howard,pr,Over,22.5,1.83
2026-06-24T10:26:26+00:00,natasha howard,pr,Under,22.5,1.83
2026-06-24T10:26:26+00:00,natasha howard,pa,Over,18.5,1.91
