logged_utc,date,player,market,side,line,price,orig_src,orig_move
2026-08-10T10:36:51Z,2026-08-10,Breanna Stewart,pts,Under,22.5,1.769,flip_paper,0.0152
2026-08-10T10:36:51Z,2026-08-10,Jonquel Jones,pts,Over,14.5,2.0,newunder,0.0109
2026-08-10T10:36:51Z,2026-08-10,Erica Wheeler,pts,Under,8.5,2.0,flip_paper,0.0225
2026-08-10T10:36:51Z,2026-08-10,Dearica Hamby,pts,Under,13.5,1.87,flip_paper,0.0219
2026-08-10T10:36:51Z,2026-08-10,Sabrina Ionescu,pts,Under,17.5,2.0,flip_paper,0.0109
2026-08-10T11:45:22Z,2026-08-10,Kelsey Mitchell,pts,Under,25.5,1.8,flip,0.0114
2026-08-10T11:45:22Z,2026-08-10,Rae Burrell,pts,Over,14.5,1.909,newunder,0.0183
2026-08-10T11:59:26Z,2026-08-10,Nyara Sabally,pra,Under,20.5,1.8,cascade,0.0611
2026-08-10T14:44:28Z,2026-08-10,Dominique Malonga,pts,Over,18.5,1.7,newunder,0.0728
2026-08-10T14:44:28Z,2026-08-10,Sonia Citron,pts,Over,15.5,1.8,newunder,0.022
2026-08-10T18:31:38Z,2026-08-10,Nyara Sabally,pra,Under,19.5,1.83,cascade,0.0457
2026-08-10T20:41:11Z,2026-08-10,Maria Conde,pra,Under,16.5,1.952,overshoot,0.0405
2026-08-11T02:24:54Z,2026-08-10,Shakira Austin,pr,Under,27.5,1.8,overshoot,0.0437
2026-08-11T05:20:13Z,2026-08-10,Nyara Sabally,pts,Over,13.5,1.83,newunder,0.0223
2026-08-11T05:20:13Z,2026-08-10,Olivia Miles,pa,Under,26.5,1.83,overshoot,0.0167
2026-08-11T06:04:54Z,2026-08-10,Courtney Vandersloot,pra,Under,17.5,1.83,cascade,0.0457
2026-08-11T06:04:54Z,2026-08-10,Natasha Cloud,pra,Under,20.5,1.73,hotover,0.1429
2026-08-11T06:41:36Z,2026-08-10,Azura Stevens,pra,Under,20.5,1.73,cascade,0.0471
2026-08-11T11:05:47Z,2026-08-11,Courtney Vandersloot,pra,Under,17.5,1.83,cascade,0.0167
2026-08-11T11:05:47Z,2026-08-11,Marina Mabrey,pa,Under,21.5,1.91,overshoot,0.0405
2026-08-11T11:57:06Z,2026-08-11,Sonia Citron,pts,Over,15.5,1.75,newunder,0.0263
2026-08-11T13:15:08Z,2026-08-11,Nyara Sabally,pts,Over,13.5,1.87,newunder,0.0219
2026-08-11T13:15:08Z,2026-08-11,Ariel Atkins,pts,Over,9.5,1.75,newunder,0.0372
2026-08-11T13:15:08Z,2026-08-11,Rae Burrell,pts,Over,14.5,1.75,newunder,0.0428
2026-08-11T13:15:08Z,2026-08-11,Natasha Howard,pts,Over,12.5,2.0,newunder,0.0225
2026-08-11T17:37:34Z,2026-08-11,Kayla Mcbride,pra,Under,19.5,2.0,overshoot,0.0405
2026-08-11T18:33:05Z,2026-08-11,Arike Ogunbowale,pra,Over,22.5,1.83,model,0.0167
2026-08-11T23:56:18Z,2026-08-11,Azura Stevens,pra,Over,20.5,1.952,model,0.0405
2026-08-12T04:41:26Z,2026-08-11,Olivia Miles,pts,Under,18.5,1.81,flip_paper,0.0107
2026-08-12T04:41:26Z,2026-08-11,Emily Engstler,pts,Over,9.5,1.88,newunder,0.0109
2026-08-12T06:41:23Z,2026-08-11,Erica Wheeler,pra,Under,16.5,1.73,cascade,0.0477
2026-08-12T06:41:23Z,2026-08-11,Arike Ogunbowale,pra,Over,23.5,1.909,model,0.0595
2026-08-12T06:42:28Z,2026-08-11,Jonquel Jones,pts,Over,14.5,1.8,newunder,0.0791
2026-08-12T06:42:28Z,2026-08-11,Erica Wheeler,pts,Under,8.5,1.8,flip_paper,0.0914
2026-08-12T09:42:07Z,2026-08-12,Paige Bueckers,pts,Over,22.5,1.8,newunder,0.0383
2026-08-12T09:42:07Z,2026-08-12,Natasha Howard,pts,Over,12.5,2.0,newunder,0.0225
2026-08-12T09:42:07Z,2026-08-12,Emily Engstler,pts,Over,9.5,1.833,newunder,0.0101
2026-08-12T09:42:07Z,2026-08-12,Olivia Miles,pts,Under,17.5,1.87,flip_paper,0.0108
2026-08-12T10:41:33Z,2026-08-12,NaLyssa Smith,pts,Under,10.5,1.88,flip_paper,0.0111
2026-08-12T11:45:03Z,2026-08-12,Nyara Sabally,pts,Over,14.5,1.72,newunder,0.1236
2026-08-12T14:44:51Z,2026-08-12,Dearica Hamby,pts,Under,13.5,1.93,flip_paper,0.0289
2026-08-12T14:44:51Z,2026-08-12,Rae Burrell,pts,Over,15.5,1.82,newunder,0.0273
2026-08-12T14:44:51Z,2026-08-12,Rae Burrell,pra,Under,20.5,1.909,cascade,0.0183
2026-08-12T14:44:51Z,2026-08-12,Dearica Hamby,pra,Under,23.5,1.87,cascade,0.0389
2026-08-12T14:44:51Z,2026-08-12,Rhyne Howard,pts,Over,17.5,1.75,newunder,0.0103
2026-08-12T14:44:51Z,2026-08-12,Nneka Ogwumike,pts,Over,16.5,1.87,newunder,0.0167
2026-08-12T19:17:40Z,2026-08-12,Kiki Iriafen,pts,Over,14.5,1.8,newunder,0.0106
2026-08-13T02:41:10Z,2026-08-12,Sonia Citron,pts,Over,16.5,1.79,newunder,0.0214
2026-08-13T05:41:15Z,2026-08-12,Rebecca Allen,pts,Under,6.5,1.87,flip_paper,0.0108
2026-08-13T06:41:27Z,2026-08-12,Angel Reese,pts,Under,16.5,1.86,flip,0.011
2026-08-13T08:41:37Z,2026-08-13,Sabrina Ionescu,pts,Over,18.5,1.75,newunder,0.0209
2026-08-13T08:41:37Z,2026-08-13,Rae Burrell,pts,Over,15.5,1.8,newunder,0.0106
2026-08-13T08:41:37Z,2026-08-13,Kiki Iriafen,pts,Over,14.5,1.833,newunder,0.0108
2026-08-13T08:41:37Z,2026-08-13,Dominique Malonga,pts,Over,20.5,1.85,newunder,0.0272
2026-08-13T09:41:35Z,2026-08-13,Aliyah Boston,pts,Over,16.5,1.94,newunder,0.0231
2026-08-13T09:41:35Z,2026-08-13,Paige Bueckers,pts,Over,21.5,1.97,newunder,0.0116
2026-08-13T14:44:04Z,2026-08-13,Bridget Carleton,pts,Over,16.5,1.952,newunder,0.0112
2026-08-14T02:50:00Z,2026-08-13,Megan DiLeo,pts,Under,13.5,1.85,flip_paper,0.0216
2026-08-14T03:54:28Z,2026-08-13,Kelsey Mitchell,pts,Under,24.5,1.93,flip_paper,0.0109
2026-08-14T08:15:02Z,2026-08-14,Sonia Citron,pts,Over,17.5,1.9,newunder,0.0286
2026-08-14T08:46:54Z,2026-08-14,Paige Bueckers,pts,Over,21.5,1.75,newunder,0.0894
2026-08-14T09:18:36Z,2026-08-14,Napheesa Collier,pts,Over,19.5,1.88,newunder,0.0217
2026-08-14T09:18:36Z,2026-08-14,Olivia Miles,pts,Under,19.5,1.75,flip_paper,0.0103
2026-08-14T09:51:51Z,2026-08-14,Chelsea Gray,pts,Over,12.5,1.91,model,0.0229
2026-08-14T13:09:39Z,2026-08-14,Breanna Stewart,pts,Over,21.5,1.8,newunder,0.022
2026-08-14T13:09:39Z,2026-08-14,Jonquel Jones,pts,Over,14.5,1.909,newunder,0.0183
2026-08-14T13:09:39Z,2026-08-14,Rae Burrell,pts,Over,15.5,1.833,newunder,0.0154
2026-08-14T13:09:39Z,2026-08-14,Kiki Iriafen,pts,Over,14.5,1.8,newunder,0.0114
2026-08-14T15:57:51Z,2026-08-14,Dearica Hamby,pra,Under,23.5,1.8,cascade,0.0437
2026-08-14T19:38:37Z,2026-08-14,NaLyssa Smith,pr,Under,17.5,1.87,flip,0.0219
2026-08-14T21:45:02Z,2026-08-14,Cameron Brink,pra,Under,15.5,1.83,cascade,0.0457
2026-08-14T23:51:57Z,2026-08-14,Kayla Mcbride,pa,Under,17.5,1.952,overshoot,0.0405
2026-08-15T03:37:20Z,2026-08-14,Jackie Young,pts,Under,18.5,1.92,flip_paper,0.017
2026-08-15T05:14:07Z,2026-08-14,Natasha Howard,pts,Over,12.5,1.95,newunder,0.0115
2026-08-15T05:45:34Z,2026-08-14,Rebecca Allen,pts,Under,7.5,1.95,flip_paper,0.0173
2026-08-15T06:50:28Z,2026-08-14,Azura Stevens,pra,Under,20.5,1.73,cascade,0.1429
2026-08-15T07:53:59Z,2026-08-15,NaLyssa Smith,pr,Under,17.5,1.87,flip,0.0389
2026-08-15T07:53:59Z,2026-08-15,Aliyah Boston,pts,Over,16.5,1.8,newunder,0.0437
2026-08-15T08:26:55Z,2026-08-15,Rae Burrell,pts,Over,15.5,1.75,newunder,0.0372
2026-08-15T08:26:55Z,2026-08-15,Nneka Ogwumike,pts,Over,15.5,1.72,newunder,0.1111
2026-08-15T08:58:27Z,2026-08-15,Olivia Miles,pts,Under,19.5,1.75,flip_paper,0.0156
2026-08-15T09:29:56Z,2026-08-15,Dearica Hamby,pra,Under,23.5,1.8,cascade,0.0437
2026-08-15T11:09:03Z,2026-08-15,Kelsey Mitchell,pts,Under,25.5,1.83,flip_paper,0.0167
2026-08-15T11:09:03Z,2026-08-15,Kayla Mcbride,pa,Under,16.5,1.91,overshoot,0.0405
2026-08-15T12:21:31Z,2026-08-15,Dominique Malonga,pts,Over,19.5,1.8,newunder,0.016
2026-08-15T12:56:17Z,2026-08-15,Erica Wheeler,pa,Under,14.5,1.8,flip,0.0437
2026-08-15T12:56:17Z,2026-08-15,Cameron Brink,pra,Under,14.5,1.83,cascade,0.0167
2026-08-15T15:39:35Z,2026-08-15,Breanna Stewart,pts,Over,21.5,1.75,newunder,0.0263
2026-08-15T16:11:01Z,2026-08-15,Bridget Carleton,pts,Over,16.5,1.83,newunder,0.0275
2026-08-15T20:57:31Z,2026-08-15,Caitlin Clark,pts,Under,21.5,2.0,flip_paper,0.0225
2026-08-15T20:57:31Z,2026-08-15,Kahleah Copper,pts,Over,21.5,1.769,newunder,0.0256
2026-08-15T20:57:31Z,2026-08-15,Megan DiLeo,pts,Under,13.5,2.0,flip_paper,0.0109
2026-08-16T00:07:17Z,2026-08-15,Kamilla Cardoso,pts,Over,14.5,1.88,newunder,0.033
2026-08-16T06:10:36Z,2026-08-15,Courtney Vandersloot,pra,Under,17.5,1.73,cascade,0.1429
2026-08-16T07:55:22Z,2026-08-16,Bridget Carleton,pts,Over,16.5,1.83,newunder,0.0275
2026-08-16T08:28:49Z,2026-08-16,Kahleah Copper,pts,Over,21.5,1.82,newunder,0.0108
2026-08-16T08:59:54Z,2026-08-16,Natasha Cloud,pts,Over,10.5,1.87,newunder,0.0447
2026-08-16T08:59:54Z,2026-08-16,Kamilla Cardoso,pts,Over,14.5,1.8,newunder,0.0439
2026-08-16T09:32:53Z,2026-08-16,Carla Leite,pts,Over,16.5,1.82,newunder,0.0108
2026-08-16T12:50:49Z,2026-08-16,Veronica Burton,pts,Over,13.5,1.909,newunder,0.0127
2026-08-16T17:10:58Z,2026-08-16,Dominique Malonga,pts,Over,20.5,1.85,newunder,0.0165
2026-08-17T02:45:17Z,2026-08-16,Natasha Cloud,pra,Under,20.5,1.73,cascade,0.1429
2026-08-17T03:16:38Z,2026-08-16,Jackie Young,pa,Under,24.5,1.83,overshoot,0.0167
2026-08-17T07:36:26Z,2026-08-17,Paige Bueckers,pts,Over,18.5,1.79,newunder,0.016
2026-08-17T12:01:54Z,2026-08-17,Aliyah Boston,pts,Over,16.5,1.769,newunder,0.0309
2026-08-17T12:01:54Z,2026-08-17,Breanna Stewart,pts,Over,22.5,1.952,newunder,0.0112
2026-08-17T12:01:54Z,2026-08-17,Chelsea Gray,pts,Over,11.5,1.8,newunder,0.0114
2026-08-17T12:01:54Z,2026-08-17,Allisha Gray,pts,Under,19.5,1.769,flip_paper,0.0256
2026-08-17T12:36:59Z,2026-08-17,Arike Ogunbowale,pr,Under,18.5,1.83,flip,0.0167
2026-08-17T13:06:40Z,2026-08-17,Nneka Ogwumike,pts,Over,16.5,2.0,newunder,0.0109
2026-08-17T15:22:08Z,2026-08-17,Caitlin Clark,pts,Under,23.5,1.87,flip,0.0333
2026-08-17T18:02:57Z,2026-08-17,Allisha Gray,pts,Under,18.5,1.91,flip_paper,0.0169
2026-08-17T19:38:32Z,2026-08-17,Paige Bueckers,pts,Over,20.5,1.85,newunder,0.0571
2026-08-17T20:41:25Z,2026-08-17,Arike Ogunbowale,pr,Under,17.5,1.73,flip,0.1561
2026-08-17T20:41:25Z,2026-08-17,Kelsey Mitchell,pts,Under,25.5,1.88,flip_paper,0.0108
2026-08-18T04:44:16Z,2026-08-17,Dearica Hamby,pra,Under,25.5,1.73,cascade,0.0471
2026-08-18T05:48:46Z,2026-08-17,Erica Wheeler,pra,Under,16.5,1.83,cascade,0.0167
2026-08-18T07:56:52Z,2026-08-18,Kelsey Mitchell,pts,Under,25.5,1.87,flip_paper,0.0275
2026-08-18T08:30:18Z,2026-08-18,Jackie Young,pr,Under,22.5,1.8,flip,0.022
2026-08-18T08:30:18Z,2026-08-18,Allisha Gray,pts,Under,18.5,1.86,flip_paper,0.0166
2026-08-18T09:04:15Z,2026-08-18,Kamilla Cardoso,pts,Over,14.5,1.769,newunder,0.0477
2026-08-18T09:04:15Z,2026-08-18,Courtney Vandersloot,pra,Under,17.5,1.769,cascade,0.1429
2026-08-18T10:12:33Z,2026-08-18,Natasha Cloud,pts,Over,10.5,1.85,newunder,0.0278
2026-08-18T15:45:12Z,2026-08-18,Kiki Iriafen,pts,Over,15.5,1.88,newunder,0.0108
2026-08-18T16:46:01Z,2026-08-18,Sonia Citron,pts,Over,17.5,1.769,newunder,0.0256
2026-08-19T01:46:02Z,2026-08-18,Napheesa Collier,pts,Over,18.5,1.87,newunder,0.0389
2026-08-19T03:53:34Z,2026-08-18,Sonia Citron,pts,Over,18.5,1.86,newunder,0.022
2026-08-19T04:57:42Z,2026-08-18,Dearica Hamby,pra,Under,24.5,1.83,cascade,0.0457
2026-08-19T04:57:42Z,2026-08-18,Tiffany Hayes,pra,Under,14.5,1.83,overshoot,0.0167
2026-08-19T06:34:16Z,2026-08-18,Marina Mabrey,pts,Under,19.5,1.82,flip_paper,0.0162
2026-08-19T07:38:07Z,2026-08-19,Arike Ogunbowale,pts,Under,16.5,1.85,flip_paper,0.0165
2026-08-19T08:44:01Z,2026-08-19,Olivia Miles,pts,Under,19.5,1.73,flip_paper,0.0844
2026-08-19T09:47:58Z,2026-08-19,Paige Bueckers,pts,Over,20.5,1.88,newunder,0.0162
2026-08-19T11:26:58Z,2026-08-19,Nneka Ogwumike,pts,Over,15.5,1.88,newunder,0.0168
2026-08-19T12:28:19Z,2026-08-19,Jessica Shepard,pts,Over,14.5,1.87,model,0.0108
2026-08-19T12:28:19Z,2026-08-19,Rae Burrell,pts,Under,16.5,1.952,flip_paper,0.0227
2026-08-19T13:33:12Z,2026-08-19,Chelsea Gray,pts,Over,11.5,1.8,newunder,0.0167
2026-08-19T13:33:12Z,2026-08-19,Jackie Young,pts,Under,19.5,1.909,flip_paper,0.024
2026-08-19T22:31:39Z,2026-08-19,Tiffany Hayes,pra,Under,13.5,1.91,overshoot,0.0405
2026-08-20T00:07:34Z,2026-08-19,Dearica Hamby,pra,Under,24.5,1.8,cascade,0.0437
2026-08-20T01:12:06Z,2026-08-19,Allisha Gray,pr,Under,22.5,1.91,overshoot,0.0405
2026-08-20T03:52:15Z,2026-08-19,Natasha Howard,pts,Under,10.5,1.89,flip_paper,0.0389
2026-08-20T04:24:14Z,2026-08-19,Kamilla Cardoso,pr,Under,21.5,1.91,overshoot,0.0405
2026-08-20T07:38:43Z,2026-08-20,Megan DiLeo,pts,Over,14.5,1.85,newunder,0.0108
2026-08-20T08:43:48Z,2026-08-20,Paige Bueckers,pts,Over,20.5,1.8,newunder,0.016
2026-08-20T09:17:31Z,2026-08-20,Shakira Austin,pts,Under,18.5,1.79,flip_paper,0.0106
2026-08-20T11:30:28Z,2026-08-20,Sonia Citron,pts,Over,16.5,1.769,newunder,0.0417
2026-08-20T11:30:28Z,2026-08-20,Kiki Iriafen,pts,Over,14.5,1.87,newunder,0.0275
2026-08-20T11:30:28Z,2026-08-20,Azura Stevens,pts,Over,10.5,1.769,model,0.0471
2026-08-20T12:39:57Z,2026-08-20,Rae Burrell,pra,Under,22.5,1.91,overshoot,0.0405
2026-08-20T14:16:04Z,2026-08-20,Rae Burrell,pa,Under,19.5,1.91,overshoot,0.0405
2026-08-20T15:23:16Z,2026-08-20,Napheesa Collier,pts,Over,19.5,1.909,starout,0.0362
2026-08-20T15:23:16Z,2026-08-20,Sydney Taylor,pts,Under,12.5,1.86,flip_paper,0.011
