captured_utc,game_id,start,teams,type,points,p1,p2
2026-08-16T06:10:18Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,spread,-1.5,1.92,1.92
2026-08-16T06:10:18Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,moneyline,,2.153,1.732
2026-08-16T06:10:18Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,total,178.5,1.9,1.941
2026-08-16T06:10:18Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,spread,2.5,1.871,1.972
2026-08-16T06:10:18Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,moneyline,,1.443,2.867
2026-08-16T06:10:18Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,total,175.5,1.93,1.91
2026-08-16T06:10:18Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,spread,-5.5,1.9,1.94
2026-08-16T06:10:18Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),total,541.5,1.941,1.899
2026-08-16T06:10:18Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),spread,-5.5,1.942,1.898
2026-08-16T06:10:18Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,moneyline,,1.417,2.977
2026-08-16T06:10:18Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,total,163.5,1.92,1.92
2026-08-16T06:10:18Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,spread,-5.5,1.92,1.92
2026-08-16T06:47:07Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,moneyline,,1.803,2.053
2026-08-16T06:47:07Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,total,188.5,1.92,1.92
2026-08-16T06:47:07Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,spread,-1.5,1.92,1.92
2026-08-16T06:47:07Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,moneyline,,2.153,1.732
2026-08-16T06:47:07Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,total,178.5,1.9,1.941
2026-08-16T06:47:07Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,spread,2.5,1.871,1.972
2026-08-16T06:47:07Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,moneyline,,1.443,2.867
2026-08-16T06:47:07Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,total,175.5,1.93,1.91
2026-08-16T06:47:07Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,spread,-5.5,1.9,1.94
2026-08-16T06:47:07Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),total,541.5,1.914,1.926
2026-08-16T06:47:07Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),spread,-5.5,1.942,1.898
2026-08-16T06:47:07Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,moneyline,,1.417,2.977
2026-08-16T06:47:07Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,total,163.5,1.92,1.92
2026-08-16T06:47:07Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,spread,-5.5,1.92,1.92
2026-08-16T07:21:09Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,moneyline,,1.812,2.042
2026-08-16T07:21:09Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,total,188.5,1.92,1.92
2026-08-16T07:21:09Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,spread,-1.5,1.92,1.92
2026-08-16T07:21:09Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,moneyline,,2.153,1.732
2026-08-16T07:21:09Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,total,178.5,1.9,1.941
2026-08-16T07:21:09Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,spread,2.5,1.871,1.972
2026-08-16T07:21:09Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,moneyline,,1.473,2.756
2026-08-16T07:21:09Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,total,176.5,1.951,1.89
2026-08-16T07:21:09Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,spread,-5.5,1.951,1.89
2026-08-16T07:21:09Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),total,542.5,1.931,1.909
2026-08-16T07:21:09Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),spread,-4.5,1.938,1.902
2026-08-16T07:21:09Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,moneyline,,1.417,2.977
2026-08-16T07:21:09Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,total,163.5,1.92,1.92
2026-08-16T07:21:09Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,spread,-5.5,1.92,1.92
2026-08-16T07:55:02Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,moneyline,,1.825,2.025
2026-08-16T07:55:02Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,total,188.5,1.91,1.93
2026-08-16T07:55:02Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,spread,-1.5,1.93,1.91
2026-08-16T07:55:02Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,moneyline,,2.135,1.744
2026-08-16T07:55:02Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,total,178.5,1.9,1.941
2026-08-16T07:55:02Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,spread,1.5,1.972,1.87
2026-08-16T07:55:02Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,moneyline,,1.473,2.756
2026-08-16T07:55:02Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,total,176.5,1.951,1.89
2026-08-16T07:55:02Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,spread,-5.5,1.951,1.89
2026-08-16T07:55:02Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),total,542.5,1.925,1.915
2026-08-16T07:55:02Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),spread,-4.5,1.944,1.896
2026-08-16T07:55:02Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,moneyline,,1.417,2.977
2026-08-16T07:55:02Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,total,163.5,1.92,1.92
2026-08-16T07:55:02Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,spread,-5.5,1.92,1.92
2026-08-16T08:28:35Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,moneyline,,1.825,2.025
2026-08-16T08:28:35Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,total,188.5,1.91,1.93
2026-08-16T08:28:35Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,spread,-1.5,1.93,1.91
2026-08-16T08:28:35Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,moneyline,,2.135,1.744
2026-08-16T08:28:35Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,total,178.5,1.9,1.941
2026-08-16T08:28:35Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,spread,1.5,1.972,1.87
2026-08-16T08:28:35Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,moneyline,,1.494,2.687
2026-08-16T08:28:35Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,total,176.5,1.93,1.91
2026-08-16T08:28:35Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,spread,-4.5,1.872,1.971
2026-08-16T08:28:35Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),total,542.5,1.911,1.929
2026-08-16T08:28:35Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),spread,-4.5,1.944,1.896
2026-08-16T08:28:35Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,moneyline,,1.417,2.977
2026-08-16T08:28:35Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,total,163.5,1.92,1.92
2026-08-16T08:28:35Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,spread,-5.5,1.92,1.92
2026-08-16T08:59:34Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,moneyline,,1.825,2.025
2026-08-16T08:59:34Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,total,188.5,1.91,1.93
2026-08-16T08:59:34Z,744652201,2026-08-16T21:00Z,Atlanta Dream|Indiana Fever,spread,-1.5,1.93,1.91
2026-08-16T08:59:34Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,moneyline,,2.215,1.694
2026-08-16T08:59:34Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,total,178.5,1.92,1.92
2026-08-16T08:59:34Z,744652208,2026-08-16T21:00Z,Seattle Storm|Chicago Sky,spread,2.5,1.92,1.92
2026-08-16T08:59:34Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,moneyline,,1.494,2.687
2026-08-16T08:59:34Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,total,176.5,1.93,1.91
2026-08-16T08:59:34Z,744652679,2026-08-16T23:00Z,Phoenix Mercury|Portland Fire,spread,-4.5,1.872,1.971
2026-08-16T08:59:34Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),total,542.5,1.932,1.908
2026-08-16T08:59:34Z,744378041,2026-08-16T21:00Z,Home (Points)|Away (Points),spread,-3.5,1.917,1.923
2026-08-16T08:59:34Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,moneyline,,1.417,2.977
2026-08-16T08:59:34Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,total,163.5,1.92,1.92
2026-08-16T08:59:34Z,744625378,2026-08-18T02:00Z,Golden State Valkyries|Dallas Wings,spread,-5.5,1.92,1.92
