logged_utc,date,player,market,side,line,price,orig_src,orig_move,actual,result,ret
2026-08-10T11:59:26Z,2026-08-10,Nyara Sabally,pra,Under,20.5,1.8,cascade,0.0611,27.0,loss,-1.0
2026-08-10T14:44:28Z,2026-08-10,Dominique Malonga,pts,Over,18.5,1.7,newunder,0.0728,26.0,WIN,0.7
2026-08-10T14:44:28Z,2026-08-10,Sonia Citron,pts,Over,15.5,1.8,newunder,0.022,19.0,WIN,0.8
2026-08-10T18:31:38Z,2026-08-10,Nyara Sabally,pra,Under,19.5,1.83,cascade,0.0457,27.0,loss,-1.0
2026-08-10T20:41:11Z,2026-08-10,Maria Conde,pra,Under,16.5,1.952,overshoot,0.0405,6.0,WIN,0.952
2026-08-11T02:24:54Z,2026-08-10,Shakira Austin,pr,Under,27.5,1.8,overshoot,0.0437,28.0,loss,-1.0
2026-08-11T05:20:13Z,2026-08-10,Nyara Sabally,pts,Over,13.5,1.83,newunder,0.0223,12.0,loss,-1.0
2026-08-11T05:20:13Z,2026-08-10,Olivia Miles,pa,Under,26.5,1.83,overshoot,0.0167,20.0,WIN,0.83
2026-08-11T06:04:54Z,2026-08-10,Courtney Vandersloot,pra,Under,17.5,1.83,cascade,0.0457,16.0,WIN,0.83
2026-08-11T06:04:54Z,2026-08-10,Natasha Cloud,pra,Under,20.5,1.73,hotover,0.1429,17.0,WIN,0.73
2026-08-11T06:41:36Z,2026-08-10,Azura Stevens,pra,Under,20.5,1.73,cascade,0.0471,19.0,WIN,0.73
2026-08-11T11:05:47Z,2026-08-11,Courtney Vandersloot,pra,Under,17.5,1.83,cascade,0.0167,13.0,WIN,0.83
2026-08-11T11:05:47Z,2026-08-11,Marina Mabrey,pa,Under,21.5,1.91,overshoot,0.0405,27.0,loss,-1.0
2026-08-11T11:57:06Z,2026-08-11,Sonia Citron,pts,Over,15.5,1.75,newunder,0.0263,19.0,WIN,0.75
2026-08-11T13:15:08Z,2026-08-11,Nyara Sabally,pts,Over,13.5,1.87,newunder,0.0219,6.0,loss,-1.0
2026-08-11T13:15:08Z,2026-08-11,Ariel Atkins,pts,Over,9.5,1.75,newunder,0.0372,5.0,loss,-1.0
2026-08-11T13:15:08Z,2026-08-11,Rae Burrell,pts,Over,14.5,1.75,newunder,0.0428,19.0,WIN,0.75
2026-08-11T13:15:08Z,2026-08-11,Natasha Howard,pts,Over,12.5,2.0,newunder,0.0225,14.0,WIN,1.0
2026-08-11T17:37:34Z,2026-08-11,Kayla Mcbride,pra,Under,19.5,2.0,overshoot,0.0405,22.0,loss,-1.0
2026-08-11T18:33:05Z,2026-08-11,Arike Ogunbowale,pra,Over,22.5,1.83,model,0.0167,28.0,WIN,0.83
2026-08-11T23:56:18Z,2026-08-11,Azura Stevens,pra,Over,20.5,1.952,model,0.0405,8.0,loss,-1.0
2026-08-12T04:41:26Z,2026-08-11,Olivia Miles,pts,Under,18.5,1.81,flip_paper,0.0107,13.0,WIN,0.81
2026-08-12T04:41:26Z,2026-08-11,Emily Engstler,pts,Over,9.5,1.88,newunder,0.0109,8.0,loss,-1.0
2026-08-12T06:41:23Z,2026-08-11,Erica Wheeler,pra,Under,16.5,1.73,cascade,0.0477,15.0,WIN,0.73
2026-08-12T06:41:23Z,2026-08-11,Arike Ogunbowale,pra,Over,23.5,1.909,model,0.0595,28.0,WIN,0.909
2026-08-12T06:42:28Z,2026-08-11,Jonquel Jones,pts,Over,14.5,1.8,newunder,0.0791,14.0,loss,-1.0
2026-08-12T06:42:28Z,2026-08-11,Erica Wheeler,pts,Under,8.5,1.8,flip_paper,0.0914,7.0,WIN,0.8
2026-08-12T09:42:07Z,2026-08-12,Paige Bueckers,pts,Over,22.5,1.8,newunder,0.0383,22.0,loss,-1.0
2026-08-12T09:42:07Z,2026-08-12,Natasha Howard,pts,Over,12.5,2.0,newunder,0.0225,14.0,WIN,1.0
2026-08-12T09:42:07Z,2026-08-12,Emily Engstler,pts,Over,9.5,1.833,newunder,0.0101,8.0,loss,-1.0
2026-08-12T09:42:07Z,2026-08-12,Olivia Miles,pts,Under,17.5,1.87,flip_paper,0.0108,13.0,WIN,0.87
2026-08-12T10:41:33Z,2026-08-12,NaLyssa Smith,pts,Under,10.5,1.88,flip_paper,0.0111,6.0,WIN,0.88
2026-08-12T11:45:03Z,2026-08-12,Nyara Sabally,pts,Over,14.5,1.72,newunder,0.1236,6.0,loss,-1.0
2026-08-12T14:44:51Z,2026-08-12,Dearica Hamby,pts,Under,13.5,1.93,flip_paper,0.0289,16.0,loss,-1.0
2026-08-12T14:44:51Z,2026-08-12,Rae Burrell,pts,Over,15.5,1.82,newunder,0.0273,28.0,WIN,0.82
2026-08-12T14:44:51Z,2026-08-12,Rae Burrell,pra,Under,20.5,1.909,cascade,0.0183,34.0,loss,-1.0
2026-08-12T14:44:51Z,2026-08-12,Dearica Hamby,pra,Under,23.5,1.87,cascade,0.0389,23.0,WIN,0.87
2026-08-12T14:44:51Z,2026-08-12,Rhyne Howard,pts,Over,17.5,1.75,newunder,0.0103,29.0,WIN,0.75
2026-08-12T14:44:51Z,2026-08-12,Nneka Ogwumike,pts,Over,16.5,1.87,newunder,0.0167,10.0,loss,-1.0
2026-08-12T19:17:40Z,2026-08-12,Kiki Iriafen,pts,Over,14.5,1.8,newunder,0.0106,5.0,loss,-1.0
2026-08-13T02:41:10Z,2026-08-12,Sonia Citron,pts,Over,16.5,1.79,newunder,0.0214,17.0,WIN,0.79
2026-08-13T05:41:15Z,2026-08-12,Rebecca Allen,pts,Under,6.5,1.87,flip_paper,0.0108,13.0,loss,-1.0
2026-08-13T06:41:27Z,2026-08-12,Angel Reese,pts,Under,16.5,1.86,flip,0.011,8.0,WIN,0.86
2026-08-13T08:41:37Z,2026-08-13,Sabrina Ionescu,pts,Over,18.5,1.75,newunder,0.0209,20.0,WIN,0.75
2026-08-13T08:41:37Z,2026-08-13,Rae Burrell,pts,Over,15.5,1.8,newunder,0.0106,28.0,WIN,0.8
2026-08-13T08:41:37Z,2026-08-13,Kiki Iriafen,pts,Over,14.5,1.833,newunder,0.0108,5.0,loss,-1.0
2026-08-13T08:41:37Z,2026-08-13,Dominique Malonga,pts,Over,20.5,1.85,newunder,0.0272,9.0,loss,-1.0
2026-08-13T09:41:35Z,2026-08-13,Aliyah Boston,pts,Over,16.5,1.94,newunder,0.0231,16.0,loss,-1.0
2026-08-13T09:41:35Z,2026-08-13,Paige Bueckers,pts,Over,21.5,1.97,newunder,0.0116,29.0,WIN,0.97
2026-08-13T14:44:04Z,2026-08-13,Bridget Carleton,pts,Over,16.5,1.952,newunder,0.0112,14.0,loss,-1.0
2026-08-14T02:50:00Z,2026-08-13,Megan DiLeo,pts,Under,13.5,1.85,flip_paper,0.0216,14.0,loss,-1.0
2026-08-14T03:54:28Z,2026-08-13,Kelsey Mitchell,pts,Under,24.5,1.93,flip_paper,0.0109,23.0,WIN,0.93
2026-08-14T08:15:02Z,2026-08-14,Sonia Citron,pts,Over,17.5,1.9,newunder,0.0286,21.0,WIN,0.9
2026-08-14T08:46:54Z,2026-08-14,Paige Bueckers,pts,Over,21.5,1.75,newunder,0.0894,29.0,WIN,0.75
2026-08-14T09:18:36Z,2026-08-14,Napheesa Collier,pts,Over,19.5,1.88,newunder,0.0217,19.0,loss,-1.0
2026-08-14T09:18:36Z,2026-08-14,Olivia Miles,pts,Under,19.5,1.75,flip_paper,0.0103,23.0,loss,-1.0
2026-08-14T09:51:51Z,2026-08-14,Chelsea Gray,pts,Over,12.5,1.91,model,0.0229,12.0,loss,-1.0
2026-08-14T13:09:39Z,2026-08-14,Breanna Stewart,pts,Over,21.5,1.8,newunder,0.022,11.0,loss,-1.0
2026-08-14T13:09:39Z,2026-08-14,Jonquel Jones,pts,Over,14.5,1.909,newunder,0.0183,23.0,WIN,0.909
2026-08-14T13:09:39Z,2026-08-14,Rae Burrell,pts,Over,15.5,1.833,newunder,0.0154,20.0,WIN,0.833
2026-08-14T13:09:39Z,2026-08-14,Kiki Iriafen,pts,Over,14.5,1.8,newunder,0.0114,19.0,WIN,0.8
2026-08-14T15:57:51Z,2026-08-14,Dearica Hamby,pra,Under,23.5,1.8,cascade,0.0437,21.0,WIN,0.8
2026-08-14T19:38:37Z,2026-08-14,NaLyssa Smith,pr,Under,17.5,1.87,flip,0.0219,29.0,loss,-1.0
2026-08-14T21:45:02Z,2026-08-14,Cameron Brink,pra,Under,15.5,1.83,cascade,0.0457,,,
2026-08-14T23:51:57Z,2026-08-14,Kayla Mcbride,pa,Under,17.5,1.952,overshoot,0.0405,14.0,WIN,0.952
2026-08-15T03:37:20Z,2026-08-14,Jackie Young,pts,Under,18.5,1.92,flip_paper,0.017,8.0,WIN,0.92
2026-08-15T05:14:07Z,2026-08-14,Natasha Howard,pts,Over,12.5,1.95,newunder,0.0115,13.0,WIN,0.95
2026-08-15T05:45:34Z,2026-08-14,Rebecca Allen,pts,Under,7.5,1.95,flip_paper,0.0173,6.0,WIN,0.95
2026-08-15T06:50:28Z,2026-08-14,Azura Stevens,pra,Under,20.5,1.73,cascade,0.1429,,,
2026-08-15T07:53:59Z,2026-08-15,NaLyssa Smith,pr,Under,17.5,1.87,flip,0.0389,29.0,loss,-1.0
2026-08-15T07:53:59Z,2026-08-15,Aliyah Boston,pts,Over,16.5,1.8,newunder,0.0437,,,
2026-08-15T08:26:55Z,2026-08-15,Rae Burrell,pts,Over,15.5,1.75,newunder,0.0372,20.0,WIN,0.75
2026-08-15T08:26:55Z,2026-08-15,Nneka Ogwumike,pts,Over,15.5,1.72,newunder,0.1111,15.0,loss,-1.0
2026-08-15T08:58:27Z,2026-08-15,Olivia Miles,pts,Under,19.5,1.75,flip_paper,0.0156,23.0,loss,-1.0
2026-08-15T09:29:56Z,2026-08-15,Dearica Hamby,pra,Under,23.5,1.8,cascade,0.0437,21.0,WIN,0.8
2026-08-15T11:09:03Z,2026-08-15,Kelsey Mitchell,pts,Under,25.5,1.83,flip_paper,0.0167,,,
2026-08-15T11:09:03Z,2026-08-15,Kayla Mcbride,pa,Under,16.5,1.91,overshoot,0.0405,14.0,WIN,0.91
2026-08-15T12:21:31Z,2026-08-15,Dominique Malonga,pts,Over,19.5,1.8,newunder,0.016,,,
