game_id,player,side,tpm,tpa
401537457,Napheesa Collier,home,0,4
401537457,Dorka Juhasz,home,1,3
401537457,Amanda Zahui B.,away,0,3
401537457,Diamond Miller,home,1,5
401537457,Elena Delle Donne,away,2,4
401537457,Tianna Hawkins,away,2,3
401537457,Rachel Banham,home,3,6
401537457,Ariel Atkins,away,2,4
401537457,Lindsay Allen,home,0,2
401537457,Elena Tsineke,away,1,4
401537457,Evina Westbrook,away,1,3
401537457,Tiffany Mitchell,home,0,1
401537457,Natasha Cloud,away,0,1
401537457,Jazmine Jones,away,0,4
401537457,Alisia Jenkins,away,0,1
401537457,Brea Beal,home,0,1
401537457,Stephanie Watts,home,0,1
401537458,Kahleah Copper,away,0,2
401537458,Arike Ogunbowale,home,1,5
401537458,Dana Evans,away,2,5
401537458,Satou Sabally,home,1,2
401537458,Alanna Smith,away,0,1
401537458,Natasha Howard,home,0,2
401537458,Awak Kuier,home,0,1
401537458,Morgan Bertsch,away,1,1
401537458,Abby Meyers,home,0,1
401537458,Kayana Traylor,away,0,1
401537458,Rebekah Gardner,away,0,1
401537458,Veronica Burton,home,1,3
401537458,Isabelle Harrison,away,2,2
401537458,Diamond DeShields,home,0,1
401537458,Jasmine Dickey,home,0,2
401537458,Ashley Joens,home,0,1
401537458,Charli Collier,home,0,1
401537458,Crystal Dangerfield,home,1,1
401537459,Kelsey Mitchell,away,1,2
401537459,Victoria Vivians,away,0,1
401537459,NaLyssa Smith,away,0,1
401537459,Alanna Smith,home,1,5
401537459,Destanni Henderson,away,0,2
401537459,Courtney Williams,home,2,2
401537459,Lexie Hull,away,0,4
401537459,Robyn Parks,home,1,1
401537459,Rebekah Gardner,home,2,2
401537459,Taylor Mikesell,away,1,2
401537459,Dana Evans,home,2,4
401537459,Isabelle Harrison,home,1,1
401537459,Emma Cannon,away,1,1
401537459,Morgan Bertsch,home,1,1
401535138,Jewell Loyd,home,2,5
401535138,Sophie Cunningham,away,0,2
401535138,Yvonne Turner,home,1,1
401535138,Diana Taurasi,away,2,5
401535138,Kia Nurse,home,1,4
401535138,Moriah Jefferson,away,0,1
401535138,Theresa Plaisance,home,0,2
401535138,Sami Whitcomb,home,0,3
401535138,Kadi Sissoko,away,0,2
401535138,Kaila Charles,home,0,1
401535138,Jasmine Walker,home,2,3
401535138,Jennie Simms,away,1,2
401535138,Destiny Slocum,away,2,2
401535138,Megan Gustafson,away,1,1
401535138,Mercedes Russell,home,0,1
401535138,Sam Thomas,away,2,4
401535138,Madi Williams,home,0,2
401535138,Sug Sutton,away,0,1
401535138,Arella Guirantes,home,0,3
401535138,Essence Booker,away,0,1
401535138,Jade Melbourne,home,0,1
401537460,Sabrina Ionescu,away,2,4
401537460,Brionna Jones,home,1,1
401537460,Stefanie Dolson,away,0,2
401537460,Kayla Thornton,away,2,4
401537460,Natisha Hiedeman,home,1,4
