game_id,player,team_id,side,starter,secs,mins,pts,fga,tpa,tpm,fta,nfoul,t3,t4,ftimes
401537457,Jazmine Jones,16,away,1,1550.0,25.83,2,7,4,0,0,3,1967.0,,123|396|1967
401537457,Diamond Miller,8,home,1,2023.0,33.72,19,12,5,1,12,4,1435.0,1923.0,751|995|1435|1923
401537457,Rachel Banham,8,home,0,1019.1,16.98,13,7,6,3,2,3,1759.0,,501|910|1759
401537457,Tiffany Mitchell,8,home,1,1882.0,31.37,9,7,1,0,1,4,2085.0,2215.0,28|232|2085|2215
401537457,Tianna Hawkins,16,away,0,1180.0,19.67,14,8,3,2,0,1,,,1913
401537457,Myah Selland,8,home,0,188.0,3.13,0,0,0,0,0,0,,,
401537457,Napheesa Collier,8,home,1,1420.0,23.67,10,11,4,0,0,2,,,2032|2063
401537457,Natasha Cloud,16,away,1,1208.0,20.13,6,5,1,0,2,2,,,1032|1600
401537457,Taylor Soule,8,home,0,965.0,16.08,4,3,0,0,1,1,,,1641
401537457,Elena Delle Donne,16,away,1,704.0,11.73,11,7,4,2,5,0,,,
401537457,Stephanie Watts,8,home,0,80.0,1.33,0,1,1,0,0,1,,,2341
401537457,Evina Westbrook,16,away,0,1550.0,25.83,7,5,3,1,2,1,,,2231
401537457,Emily Engstler,16,away,0,502.0,8.37,4,3,0,0,0,1,,,809
401537457,Lindsay Allen,8,home,1,1440.9,24.02,5,7,2,0,3,1,,,1335
401537457,Dorka Juhasz,8,home,1,1751.0,29.18,11,7,3,1,2,0,,,
401537457,Maya Dodson,8,home,0,80.0,1.33,0,0,0,0,0,1,,,2389
401537457,Elena Tsineke,16,away,0,1379.9,23.0,5,9,4,1,0,6,1884.0,2298.0,939|1810|1884|2298|2347|2382
401537457,Alisia Jenkins,16,away,0,600.0,10.0,4,2,1,0,4,2,,,1909|2090
401537457,Stephanie Jones,16,away,0,1228.0,20.47,4,2,0,0,2,2,,,276|2360
401537457,Ariel Atkins,16,away,1,1050.1,17.5,8,10,4,2,0,2,,,249|306
401537457,Amanda Zahui B.,16,away,1,1048.0,17.47,4,6,3,0,0,1,,,163
