game_id,side,recon_ok,err,pts,fga,fgm,tpa,tpm,fta,ftm,oreb,dreb,opp_oreb,opp_dreb,opp_fga,opp_fgm,opp_tpa,opp_tpm,opp_fta,opp_pts,final
401507148,home,0,0,94,72,34,19,6,25,20,15,29,9,23,75,32,29,10,17,89,94
401507148,away,0,1,89,75,32,29,10,17,15,9,23,15,29,72,34,19,6,25,94,88
401507149,home,1,0,94,70,32,39,14,17,16,4,32,8,32,64,26,21,7,17,73,94
401507149,away,1,0,73,64,26,21,7,17,14,8,32,4,32,70,32,39,14,17,94,73
401507150,home,1,0,83,65,30,12,5,24,18,6,35,11,33,69,25,18,6,11,65,83
401507150,away,1,0,65,69,25,18,6,11,9,11,33,6,35,65,30,12,5,24,83,65
401507151,home,1,0,81,66,29,21,7,22,16,14,31,10,27,69,31,20,4,14,78,81
401507151,away,1,0,78,69,31,20,4,14,12,10,27,14,31,66,29,21,7,22,81,78
401507152,home,1,0,94,73,33,23,8,22,20,12,24,7,27,63,33,18,9,17,89,94
401507152,away,1,0,89,63,33,18,9,17,14,7,27,12,24,73,33,23,8,22,94,89
401507153,home,0,1,79,62,28,18,7,21,16,12,23,3,29,54,28,25,9,23,86,78
401507153,away,0,0,86,54,28,25,9,23,21,3,29,12,23,62,28,18,7,21,79,86
401507154,home,1,0,84,56,27,20,8,26,22,9,23,9,20,68,36,23,7,11,89,84
401507154,away,1,0,89,68,36,23,7,11,10,9,20,9,23,56,27,20,8,26,84,89
401507157,home,1,0,76,64,30,19,11,7,5,10,28,3,25,64,31,26,9,7,77,76
401507157,away,1,0,77,64,31,26,9,7,6,3,25,10,28,64,30,19,11,7,76,77
401507155,home,1,0,75,57,19,23,8,31,29,4,36,11,34,73,26,32,9,16,74,75
401507155,away,1,0,74,73,26,32,9,16,13,11,34,4,36,57,19,23,8,31,75,74
401507156,home,1,0,87,70,34,22,10,10,9,6,30,5,26,67,33,21,6,25,92,87
401507156,away,1,0,92,67,33,21,6,25,20,5,26,6,30,70,34,22,10,10,87,92
401507158,home,1,0,93,59,32,24,8,26,21,6,23,8,21,70,37,24,8,19,99,93
401507158,away,1,0,99,70,37,24,8,19,17,8,21,6,23,59,32,24,8,26,93,99
401507159,home,1,0,78,71,28,30,9,14,13,7,24,7,32,60,28,24,9,17,80,78
401507159,away,1,0,80,60,28,24,9,17,15,7,32,7,24,71,28,30,9,14,78,80
401507160,home,1,0,92,59,31,18,7,27,23,7,27,6,31,64,30,24,13,16,85,92
401507160,away,1,0,85,64,30,24,13,16,12,6,31,7,27,59,31,18,7,27,92,85
401507161,home,1,0,80,60,28,16,5,23,19,6,28,11,22,64,24,26,9,19,74,80
401507161,away,1,0,74,64,24,26,9,19,17,11,22,6,28,60,28,16,5,23,80,74
401507162,home,1,0,82,66,33,23,6,14,10,7,34,6,28,66,30,22,9,27,86,82
401507162,away,1,0,86,66,30,22,9,27,17,6,28,7,34,66,33,23,6,14,82,86
401507163,home,1,0,80,65,31,19,11,10,7,4,35,6,29,70,32,21,4,22,84,80
401507163,away,1,0,84,70,32,21,4,22,16,6,29,4,35,65,31,19,11,10,80,84
401507164,home,1,0,84,65,29,27,10,23,16,10,24,5,26,61,32,15,4,26,90,84
401507164,away,1,0,90,61,32,15,4,26,22,5,26,10,24,65,29,27,10,23,84,90
401507165,home,1,0,108,74,38,20,9,25,23,4,21,10,25,71,40,20,9,16,103,108
401507165,away,1,0,103,71,40,20,9,16,14,10,25,4,21,74,38,20,9,25,108,103
401507166,home,1,0,66,65,22,19,4,22,18,9,28,3,30,51,22,15,5,16,63,66
401507166,away,1,0,63,51,22,15,5,16,14,3,30,9,28,65,22,19,4,22,66,63
401507168,home,1,0,84,71,30,23,4,27,20,15,35,4,22,64,31,24,7,13,79,84
401507168,away,1,0,79,64,31,24,7,13,10,4,22,15,35,71,30,23,4,27,84,79
401507169,home,1,0,94,65,37,14,8,16,12,10,24,5,21,58,28,20,9,17,77,94
401507169,away,1,0,77,58,28,20,9,17,12,5,21,10,24,65,37,14,8,16,94,77
401507170,home,1,0,83,58,30,18,9,22,14,5,29,9,28,72,34,30,14,26,106,83
401507170,away,1,0,106,72,34,30,14,26,24,9,28,5,29,58,30,18,9,22,83,106
401507171,home,1,0,90,72,32,29,8,19,18,17,24,8,23,59,30,20,4,17,77,90
401507171,away,1,0,77,59,30,20,4,17,13,8,23,17,24,72,32,29,8,19,90,77
401507172,home,1,0,69,61,24,16,5,20,16,6,32,6,28,66,28,20,6,13,71,69
401507172,away,1,0,71,66,28,20,6,13,9,6,28,6,32,61,24,16,5,20,69,71
401507173,home,1,0,77,63,28,20,3,22,18,10,32,7,27,66,27,23,4,8,62,77
401507173,away,1,0,62,66,27,23,4,8,4,7,27,10,32,63,28,20,3,22,77,62
401507174,home,1,0,66,58,25,22,6,14,10,2,28,13,28,62,26,21,6,18,73,66
401507174,away,1,0,73,62,26,21,6,18,15,13,28,2,28,58,25,22,6,14,66,73
401507175,home,1,0,102,67,39,28,13,14,11,5,33,14,23,79,32,22,6,28,93,102
401507175,away,1,0,93,79,32,22,6,28,23,14,23,5,33,67,39,28,13,14,102,93
401507176,home,1,0,93,63,38,16,6,13,11,7,26,10,17,67,30,20,7,15,80,93
401507176,away,1,0,80,67,30,20,7,15,13,10,17,7,26,63,38,16,6,13,93,80
401507179,home,1,0,65,60,24,22,5,16,12,5,25,8,32,52,21,25,11,22,71,65
401507179,away,1,0,71,52,21,25,11,22,18,8,32,5,25,60,24,22,5,16,65,71
401507177,home,1,0,77,58,26,18,5,24,20,10,27,10,24,67,32,14,4,30,89,77
401507177,away,1,0,89,67,32,14,4,30,21,10,24,10,27,58,26,18,5,24,77,89
401507178,home,1,0,82,66,33,20,4,16,12,11,20,7,22,60,29,22,9,21,85,82
401507178,away,1,0,85,60,29,22,9,21,18,7,22,11,20,66,33,20,4,16,82,85
401507180,home,1,0,91,61,30,25,7,25,24,8,30,2,24,66,32,27,9,15,86,91
401507180,away,1,0,86,66,32,27,9,15,13,2,24,8,30,61,30,25,7,25,91,86
401507181,home,1,0,87,64,32,16,4,24,19,14,32,6,21,64,22,25,7,19,66,87
401507181,away,1,0,66,64,22,25,7,19,15,6,21,14,32,64,32,16,4,24,87,66
401507182,home,1,0,79,64,26,26,8,22,19,8,25,13,29,64,31,23,8,18,86,79
401507182,away,1,0,86,64,31,23,8,18,16,13,29,8,25,64,26,26,8,22,79,86
401507183,home,1,0,69,55,25,16,6,15,13,3,29,10,28,68,29,27,12,19,83,69
401507183,away,1,0,83,68,29,27,12,19,13,10,28,3,29,55,25,16,6,15,69,83
401507184,home,0,0,61,67,25,22,4,7,7,12,26,3,26,59,32,16,7,16,80,61
401507184,away,0,1,80,59,32,16,7,16,9,3,26,12,26,67,25,22,4,7,61,79
401507185,home,1,0,88,73,33,16,4,23,18,9,21,6,32,69,36,13,4,20,92,88
401507185,away,1,0,92,69,36,13,4,20,16,6,32,9,21,73,33,16,4,23,88,92
401507186,home,1,0,90,67,35,26,12,11,8,9,19,7,19,56,33,13,5,24,92,90
401507186,away,1,0,92,56,33,13,5,24,21,7,19,9,19,67,35,26,12,11,90,92
401507187,home,1,0,96,66,39,25,12,8,6,4,33,4,24,61,24,23,5,16,63,96
401507187,away,1,0,63,61,24,23,5,16,10,4,24,4,33,66,39,25,12,8,96,63
401507188,home,1,0,88,59,32,25,11,16,13,6,28,5,22,55,23,22,7,20,69,88
401507188,away,1,0,69,55,23,22,7,20,16,5,22,6,28,59,32,25,11,16,88,69
401507189,home,1,0,72,56,26,25,9,16,11,5,23,4,25,52,27,17,6,25,77,72
401507189,away,1,0,77,52,27,17,6,25,17,4,25,5,23,56,26,25,9,16,72,77
401507190,home,1,0,103,70,38,25,10,20,17,8,22,8,21,60,33,33,17,32,109,103
401507190,away,1,0,109,60,33,33,17,32,26,8,21,8,22,70,38,25,10,20,103,109
401507191,home,1,0,89,62,30,25,9,24,20,12,27,8,19,60,27,21,7,13,71,89
401507191,away,1,0,71,60,27,21,7,13,10,8,19,12,27,62,30,25,9,24,89,71
401507192,home,1,0,77,61,25,15,5,26,22,6,19,8,32,60,27,20,6,14,69,77
401507192,away,1,0,69,60,27,20,6,14,9,8,32,6,19,61,25,15,5,26,77,69
401507193,home,1,0,94,70,33,19,4,29,24,11,23,3,28,62,37,15,7,24,100,94
401507193,away,1,0,100,62,37,15,7,24,19,3,28,11,23,70,33,19,4,29,94,100
401507194,home,1,0,74,64,28,19,4,15,14,10,24,2,27,62,34,15,6,11,83,74
401507194,away,1,0,83,62,34,15,6,11,9,2,27,10,24,64,28,19,4,15,74,83
401507195,home,1,0,93,70,35,30,10,15,13,7,32,10,32,66,25,22,4,9,62,93
401507195,away,1,0,62,66,25,22,4,9,8,10,32,7,32,70,35,30,10,15,93,62
401507196,home,1,0,85,58,27,17,6,34,25,16,30,11,22,62,22,18,4,33,73,85
401507196,away,1,0,73,62,22,18,4,33,25,11,22,16,30,58,27,17,6,34,85,73
401507197,home,1,0,61,61,23,26,8,10,7,4,33,6,29,64,26,23,6,14,67,61
401507197,away,1,0,67,64,26,23,6,14,9,6,29,4,33,61,23,26,8,10,61,67
401507198,home,1,0,79,61,24,24,8,29,23,7,27,8,30,64,32,17,5,21,85,79
401507198,away,1,0,85,64,32,17,5,21,16,8,30,7,27,61,24,24,8,29,79,85
401507199,home,1,0,79,67,30,20,5,15,14,8,18,8,24,63,36,23,11,23,99,79
401507199,away,1,0,99,63,36,23,11,23,16,8,24,8,18,67,30,20,5,15,79,99
401507200,home,1,0,59,55,18,17,4,21,19,6,24,7,34,67,33,19,6,10,80,59
401507200,away,1,0,80,67,33,19,6,10,8,7,34,6,24,55,18,17,4,21,59,80
401507201,home,1,0,68,70,24,22,4,19,16,12,25,8,32,57,27,25,12,29,89,68
401507201,away,1,0,89,57,27,25,12,29,23,8,32,12,25,70,24,22,4,19,68,89
401507202,home,1,0,68,69,22,30,11,16,13,5,24,9,38,67,30,22,10,13,80,68
401507202,away,1,0,80,67,30,22,10,13,10,9,38,5,24,69,22,30,11,16,68,80
401507203,home,0,0,80,65,26,11,5,27,23,8,29,7,35,69,36,31,16,27,109,80
401507203,away,0,-1,109,69,36,31,16,27,21,7,35,8,29,65,26,11,5,27,80,110
401507204,home,1,0,76,71,26,18,2,25,22,11,21,13,35,69,28,23,5,17,74,76
401507204,away,1,0,74,69,28,23,5,17,13,13,35,11,21,71,26,18,2,25,76,74
401507205,home,1,0,101,63,34,23,11,27,22,5,26,5,26,61,34,15,6,15,88,101
401507205,away,1,0,88,61,34,15,6,15,14,5,26,5,26,63,34,23,11,27,101,88
401507206,home,1,0,97,66,32,31,13,22,20,10,23,5,23,53,26,17,4,24,74,97
401507206,away,1,0,74,53,26,17,4,24,18,5,23,10,23,66,32,31,13,22,97,74
401507207,home,1,0,96,76,40,21,8,9,8,11,27,8,22,63,29,17,4,17,72,96
401507207,away,1,0,72,63,29,17,4,17,10,8,22,11,27,76,40,21,8,9,96,72
