game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop
401104939,2019,10.0,166.0,-0.2943,-0.4052,-69.5,0,-1,0,-15.06,-3.35,168.52,-0.0004,0.0367,0.0229,0.093,-0.0067,-0.74,-0.1829,-0.2577
401104940,2019,24.0,148.0,0.4145,0.4056,60.8,0,0,0,14.76,0.27,157.36,-0.0387,-0.0315,-0.0111,0.0192,0.1265,-0.92,0.3183,0.0989
401104941,2019,-7.0,181.0,0.1363,0.1552,34.4,0,-1,0,5.94,4.73,156.5,-0.048,0.0873,0.0597,-0.1588,-0.0606,-1.41,0.248,-0.1306
401104942,2019,7.0,149.0,-0.0927,-0.1676,-40.4,0,-1,0,-14.28,3.89,163.56,0.0339,-0.0616,-0.0589,-0.0057,-0.0299,-0.11,-0.232,0.1016
401104943,2019,8.0,158.0,-0.0962,-0.0609,20.3,0,0,0,-6.93,4.04,161.37,0.0047,0.0485,0.0452,-0.0485,-0.0385,4.28,-0.6287,0.7945
401104944,2019,-2.0,166.0,0.167,0.1178,29.6,0,0,0,2.63,0.95,161.16,-0.0227,-0.0063,0.0017,-0.0503,0.0661,-2.56,0.4552,-0.4732
401104945,2019,7.0,157.0,-0.2282,-0.2091,-41.5,0,0,0,-6.97,7.7,161.08,0.0432,0.0644,-0.0466,-0.076,-0.0865,-0.72,-0.0435,-0.1808
401104946,2019,6.0,144.0,-0.254,-0.2973,-73.3,0,-1,0,-3.73,4.05,162.64,-0.0334,-0.0403,0.0356,0.0163,0.011,-0.78,-0.0286,-0.2935
401104947,2019,-4.0,148.0,-0.3841,-0.33,-64.8,0,2,0,-13.11,-3.06,156.74,0.021,0.0374,-0.0202,0.065,-0.154,-0.49,-0.4482,0.1945
401104948,2019,-3.0,145.0,0.1904,0.1919,28.5,0,0,0,9.48,-1.0,158.54,-0.0392,-0.0164,-0.0296,0.1065,-0.0122,-1.13,0.3957,-0.2908
401104949,2019,-4.0,166.0,-0.2089,-0.2137,-49.3,0,-1,0,-8.31,-2.16,162.5,0.0684,0.0091,-0.0352,0.0047,-0.0086,-2.19,0.4676,-0.8669
401104950,2019,-17.0,153.0,0.0855,0.1031,1.2,0,-2,0,-0.14,-7.02,162.75,-0.0063,-0.0391,0.0211,0.0339,0.003,-3.07,-0.1575,0.3147
401104951,2019,35.0,165.0,0.1073,0.1258,42.0,0,3,0,4.56,3.12,169.01,-0.0015,-0.0177,0.0046,-0.114,0.0342,-1.22,-0.0018,0.1026
401104952,2019,-6.0,134.0,0.1584,0.1543,49.0,0,-2,0,6.71,-5.05,162.3,-0.0427,0.0266,0.0728,-0.0366,0.0136,-0.05,0.3847,-0.3116
401104953,2019,10.0,132.0,0.0514,0.1227,-0.4,0,-3,0,2.49,-5.07,158.07,0.0047,0.0542,-0.0535,-0.0344,-0.0109,-2.07,-0.0616,0.2729
401104954,2019,-6.0,190.0,0.3434,0.4099,79.6,0,0,0,12.32,-0.97,166.91,-0.011,-0.0224,-0.0626,-0.0157,0.0895,3.0,-0.1123,0.7211
401104955,2019,14.0,148.0,0.1832,0.1748,60.9,0,0,0,6.63,3.07,161.84,-0.0283,0.0235,0.0277,0.042,-0.0015,1.19,-0.0044,0.2327
401104956,2019,-5.0,155.0,-0.0864,-0.1349,-5.3,0,0,0,-13.36,-6.76,166.06,0.0139,0.0235,-0.1018,0.1194,-0.034,0.17,-0.2294,0.1514
401104957,2019,-29.0,133.0,-0.0572,-0.029,-13.5,0,-1,0,-5.02,5.51,162.42,0.0367,-0.0109,-0.0502,-0.0682,0.0544,0.13,-0.681,0.8762
401104958,2019,10.0,166.0,-0.3415,-0.2206,-75.5,0,0,0,-14.79,2.19,159.1,0.0245,-0.0198,0.0581,0.0724,-0.0719,2.15,-0.2074,-0.0734
401104959,2019,-8.0,174.0,-0.1398,-0.178,-36.6,0,0,0,-6.53,2.18,166.05,-0.0286,-0.0293,0.1066,0.0197,-0.0405,1.28,0.1742,-0.468
401104960,2019,15.0,123.0,-0.1591,-0.1572,-31.3,0,0,0,-1.99,-1.1,154.23,0.0029,0.1031,-0.0026,-0.0307,-0.1171,0.19,0.2594,-0.5914
401104961,2019,-23.0,167.0,-0.0592,0.0123,-27.7,0,2,0,-0.49,6.57,164.3,0.0468,0.0178,0.1299,-0.1534,0.0239,-3.14,-0.3814,0.5382
401104962,2019,10.0,162.0,0.4234,0.4139,125.0,0,3,0,17.27,1.55,160.53,-0.0106,0.0184,-0.0394,-0.0181,0.072,1.5,-0.3599,0.9656
401104963,2019,-7.0,145.0,0.1453,0.278,-9.9,0,0,0,7.47,4.1,159.4,0.0341,-0.0529,-0.0069,0.0455,0.0246,1.27,-0.1448,0.5039
401104964,2019,22.0,146.0,0.1394,0.1817,15.3,0,2,0,3.76,-6.27,163.49,0.0008,0.0291,0.0591,-0.0463,-0.0314,-0.69,0.3128,-0.1962
401104965,2019,9.0,175.0,0.198,0.3928,58.3,0,2,0,1.21,-5.26,164.48,0.04,0.0374,-0.0354,0.0362,0.0034,0.42,-0.1748,0.662
401104966,2019,18.0,154.0,0.2533,0.3354,32.8,0,0,0,5.92,8.22,161.36,0.0058,-0.0767,0.1132,-0.0722,0.1326,0.78,-0.0689,0.6704
401104967,2019,-16.0,162.0,-0.42,-0.4123,-120.3,0,-1,0,-20.79,0.87,158.86,0.0197,0.0239,0.0608,-0.0466,-0.0825,-3.1,-0.4142,0.0014
401104968,2019,18.0,168.0,-0.2183,-0.2273,-93.6,0,0,0,-5.09,0.2,162.07,0.016,-0.049,-0.0645,-0.0104,-0.0363,-1.29,0.0569,-0.3707
401104969,2019,10.0,154.0,0.0557,0.1598,2.1,0,1,0,1.41,-6.07,161.26,-0.011,-0.0153,0.0624,0.0215,0.02,-0.09,-0.0246,0.2231
401104970,2019,4.0,126.0,0.0244,0.089,-2.8,0,0,0,3.41,0.37,155.31,0.0255,-0.0254,0.0345,0.0156,-0.0004,3.08,-0.7259,1.1137
401104971,2019,-4.0,152.0,-0.181,-0.1843,7.4,0,-1,0,-0.44,-2.55,158.25,-0.0364,0.0114,-0.0609,-0.0692,0.0111,-3.09,0.1142,-0.309
401104972,2019,4.0,116.0,0.1743,0.1174,-8.3,0,1,0,1.06,6.87,161.05,0.0072,-0.0153,0.0819,-0.0514,0.0456,0.41,0.0519,0.1939
401104973,2019,-7.0,155.0,-0.1033,-0.1468,-76.9,0,0,0,-6.25,2.5,161.0,0.0304,-0.0297,-0.0242,-0.0696,-0.0223,-3.86,-0.3236,0.2228
401104974,2019,1.0,147.0,-0.4218,-0.5334,-107.5,0,1,0,-6.24,-5.53,158.98,0.0106,0.0742,-0.0428,0.0129,-0.1373,-1.21,0.119,-0.9419
401104975,2019,12.0,160.0,-0.4047,-0.4927,-47.7,0,2,0,-18.24,-2.92,167.29,-0.0097,0.0132,-0.1041,0.0734,-0.0202,-2.92,-0.3962,-0.1241
401104976,2019,1.0,137.0,0.0184,-0.1257,-27.0,0,3,0,-8.43,9.08,161.02,-0.0157,-0.112,0.0122,0.0057,0.0602,1.47,-0.3139,0.3657
401104977,2019,22.0,160.0,-0.0402,0.0647,-20.4,0,2,0,-1.13,-1.58,156.69,-0.0083,-0.0984,0.0531,0.0804,0.0215,0.91,-0.2472,0.3557
401104978,2019,3.0,155.0,-0.2088,-0.1873,18.9,0,1,0,-1.01,-3.45,160.18,0.0075,0.0157,0.0387,-0.0036,-0.0075,1.64,-0.0523,-0.1536
401104979,2019,43.0,161.0,0.1137,0.0675,27.3,0,0,0,13.55,-1.07,161.8,-0.0269,-0.0006,-0.0673,0.0558,-0.0133,2.2,0.3996,-0.447
401104980,2019,5.0,199.0,0.2199,0.2186,13.8,0,1,-1,5.61,6.54,163.65,0.0208,-0.0763,0.0755,-0.0167,0.0474,4.18,0.0517,0.201
401104981,2019,-16.0,132.0,0.0201,0.1468,-2.9,0,3,0,0.99,-5.08,162.12,0.0167,0.0392,0.0396,0.0122,-0.0064,-0.96,0.2041,-0.1444
401104982,2019,3.0,175.0,-0.3389,-0.3767,-52.9,0,-3,0,0.4,-4.38,155.91,-0.037,0.0768,-0.0419,-0.0035,-0.0598,-1.83,-0.1994,-0.0631
401104983,2019,25.0,163.0,-0.3308,-0.3276,-13.6,0,1,0,-11.07,1.88,163.67,-0.0008,-0.0135,0.0107,-0.0001,0.005,0.11,-0.1497,-0.2351
