game_id,matchup_diff,margin,season
401537457,0.0,3.0,2023
401537458,0.0,5.0,2023
401537459,0.7332694601645947,25.0,2023
401535138,0.0,-6.0,2023
401537460,0.0,6.0,2023
401537461,2.846720740564816,12.0,2023
401535139,1.3462944015895244,-19.0,2023
401525954,0.24603116624543975,-8.0,2023
401537462,-7.813276620533834,7.0,2023
401545052,-1.1273701393145197,7.0,2023
401537464,-9.07390582143017,-17.0,2023
401507130,-7.335524822277819,-9.0,2023
401507131,1.1555441009529956,16.0,2023
401507132,1.2730284564814587,-11.0,2023
401507133,7.080237866627232,23.0,2023
401507134,-3.200880794254256,-41.0,2023
401507135,2.9153340001347265,7.0,2023
401507136,5.02097267121988,6.0,2023
401507137,0.1613848114563879,17.0,2023
401507138,1.8104778143964555,-6.0,2023
401507139,-5.971481411486372,-7.0,2023
401507140,5.752467685445012,-6.0,2023
401507141,2.38027137901382,-9.0,2023
401507142,3.1115513081740995,9.0,2023
401507143,1.8857217775003312,-2.0,2023
401507144,-4.286959045714985,-4.0,2023
401507145,-3.5558484806605617,16.0,2023
401507146,4.725068278243327,28.0,2023
401507147,0.24540490992123676,-3.0,2023
401507148,4.843667732748164,6.0,2023
401507149,5.867509639139666,21.0,2023
401507150,-7.7528252055557125,18.0,2023
401507151,4.233010139984929,3.0,2023
401507152,-0.02785934111050492,5.0,2023
401507153,-12.151792665124892,-8.0,2023
401507154,-2.456654062562408,-5.0,2023
401507155,3.620246066555536,1.0,2023
401507156,-4.888504000851658,-5.0,2023
401507157,-1.2014809417815784,-1.0,2023
401507158,0.3954110514183884,-6.0,2023
401507159,3.5828017681871303,-2.0,2023
401507160,10.57523697492901,7.0,2023
401507161,4.881176258026471,6.0,2023
401507162,-0.4039312464504098,-4.0,2023
401507163,-5.348711185228036,-4.0,2023
401507164,1.3912087357421434,-6.0,2023
401507165,1.2854308181130973,5.0,2023
401507166,-7.317787171301863,3.0,2023
401507168,-5.4225799774669365,5.0,2023
401507169,2.7619791514312317,17.0,2023
401507170,0.04635034322554088,-23.0,2023
401507171,-4.992353143309712,13.0,2023
401507172,1.157078728752545,-2.0,2023
401507173,1.0395108839240466,15.0,2023
401507174,-5.263946390388624,-7.0,2023
401507175,-1.0299781269658617,9.0,2023
401507176,-3.931215649254143,13.0,2023
401507177,-1.5138276343452173,-12.0,2023
401507178,-2.2216097844615836,-3.0,2023
401507179,-4.298160283998575,-6.0,2023
401507180,-3.8078177791265877,5.0,2023
401507181,-0.8463226232448615,21.0,2023
401507182,0.06790437047857933,-7.0,2023
401507183,5.650548846435206,-14.0,2023
401507184,-4.3177562854075955,-18.0,2023
401507185,0.07067766578240287,-4.0,2023
401507186,-0.5792665641412851,-2.0,2023
401507187,-0.3749843102864667,33.0,2023
401507188,-1.0787342748013045,19.0,2023
401507189,4.051696635464561,-5.0,2023
401507190,0.6049987894651498,-6.0,2023
401507191,0.03589421546856997,18.0,2023
401507192,1.4997759323347526,8.0,2023
401507193,-2.1068623595960556,-6.0,2023
401507194,-0.28062818422791536,-9.0,2023
401507195,-0.5715030489061664,31.0,2023
401507196,-7.106479611544973,12.0,2023
401507197,1.5135970456106798,-6.0,2023
401507198,-6.85068983253775,-6.0,2023
401507199,-3.733890483911268,-20.0,2023
401507200,-1.0506624656535328,-21.0,2023
401507201,-1.670726627086831,-21.0,2023
401507202,-0.5858148338065949,-12.0,2023
401507203,3.4051914899502895,-30.0,2023
401507204,5.4722541988115925,2.0,2023
401507205,1.9891484911724886,13.0,2023
401507206,-1.6837127220561858,23.0,2023
401507207,6.060403865540877,24.0,2023
401507208,-3.0901798985641795,1.0,2023
401507209,3.615829347855338,10.0,2023
401507210,1.2149744444224309,8.0,2023
401507211,5.3844267063439055,-8.0,2023
401507212,3.571738616112647,11.0,2023
401507213,-0.8895806197424032,-15.0,2023
401507214,-3.791326383026197,17.0,2023
401507215,2.0140645177821748,23.0,2023
401507216,1.901633189130959,17.0,2023
401507217,-4.9465917603594285,22.0,2023
401507218,-4.226831426969235,-2.0,2023
401507219,-4.91660475998492,5.0,2023
401507220,-2.0598760051554326,8.0,2023
401507221,-2.0033807035339377,18.0,2023
401507222,-2.204978202693867,-10.0,2023
401507223,-1.5984558765712884,28.0,2023
401507224,0.014022870051303649,-2.0,2023
401507225,-4.39564604303443,17.0,2023
401507226,-4.0594950307609095,-15.0,2023
401507227,2.364982260849918,4.0,2023
401507228,0.508530846350014,7.0,2023
401507229,0.4410395333760726,7.0,2023
401507230,0.17575243679981734,-11.0,2023
401507231,7.818521921142926,20.0,2023
401507232,3.9332592775657993,8.0,2023
401507233,1.5066391144536067,-14.0,2023
401507234,-0.29526053561591575,2.0,2023
401507235,2.7695124107671756,11.0,2023
401507236,4.500181679370071,4.0,2023
401507237,3.8470834631476762,8.0,2023
401507238,-1.810414050931159,-1.0,2023
401507239,-0.46264895188785005,6.0,2023
401507240,-0.7059994054878325,-24.0,2023
401507241,0.10308074299492809,-11.0,2023
401507242,4.145649110008865,7.0,2023
401507243,2.2913314571913217,26.0,2023
401507244,-1.218710630168951,-8.0,2023
401507245,-3.2269086569209495,-12.0,2023
401507246,-2.516223430286824,-40.0,2023
401507247,5.491848353072335,10.0,2023
401507248,-2.214027797230993,-19.0,2023
401558893,0.0,-16.0,2023
401507249,3.2814086032997025,9.0,2023
401507250,-5.132860976583322,6.0,2023
401507251,-0.48199809560848705,-6.0,2023
401507252,-0.6147020879299204,-10.0,2023
401507253,0.3847352500433707,11.0,2023
401507254,-0.6921462774006084,3.0,2023
401507255,-0.7558990507690908,18.0,2023
401507256,-4.944696357013573,-16.0,2023
401507257,-1.1387417421977375,-9.0,2023
401507258,0.006106418992854135,-8.0,2023
401507259,-1.9304316487376538,-15.0,2023
401507260,2.6985208120851274,14.0,2023
401507261,-3.0771303900951414,-17.0,2023
401507262,0.9280593610667325,18.0,2023
