game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv
401507146,2023,28.0,158.0,0.1521,0.1306,29.1,4.725,0,0,9.03,1.28,170.5,0.0754,-0.013,0.0223,0.067,0.1056,-2.15,-0.042,0.2613,0.0292,0.184,-5.369,0.0663,2.4317,0.2075,0,0.172,-0.189,0.1524,0.0137,0.1211,162
401507147,2023,-3.0,177.0,0.0351,0.0194,7.5,0.245,0,0,4.31,5.7,171.71,-0.0136,0.0684,-0.012,0.0313,-0.0401,-0.24,0.2067,-0.3226,0.1017,0.0975,-1.2509,0.1154,0.6077,0.0241,1,-0.0834,0.0592,0.0683,0.2319,0.2778,162
401507148,2023,6.0,182.0,0.1097,0.0934,23.2,4.844,0,0,6.03,-4.15,163.72,0.0295,-0.0462,-0.1285,-0.0747,0.0867,0.87,0.4326,-0.4487,-0.1268,-0.0099,2.0068,-0.0479,0.4638,0.0974,1,-0.0562,0.1123,-0.0547,-0.1115,-0.1689,162
401507149,2023,21.0,167.0,0.5213,0.5771,96.1,5.868,-2,1,28.27,4.53,166.9,-0.0134,-0.0159,-0.0603,0.0333,0.1678,3.77,0.2546,0.4587,0.5127,0.7316,-3.8017,0.0432,2.4917,0.2035,1,0.5556,0.2923,0.1372,0.1153,0.897,156.77
401507150,2023,18.0,148.0,-0.3578,-0.2811,-67.2,-7.753,0,0,-11.2,6.38,168.71,-0.0188,-0.0083,0.1155,0.0434,-0.0732,-2.52,-0.4929,0.3121,-0.1391,-0.4041,0.1804,0.0242,-0.89,0.0751,0,-0.1906,-0.2072,-0.0805,0.098,-0.2997,157.1
401507151,2023,3.0,159.0,0.2666,0.2661,56.9,4.233,1,0,10.69,-1.58,163.58,-0.0144,0.0089,0.1358,-0.02,-0.0033,1.74,0.1194,0.1936,0.1419,0.3697,-0.5256,0.0201,1.3412,-0.1685,2,0.0957,0.3774,0.0473,0.0378,0.3889,156.81
401507152,2023,5.0,183.0,0.1158,-0.0281,48.3,-0.028,0,0,11.89,3.12,166.47,-0.0192,0.0546,-0.0132,0.0471,0.0276,1.83,-0.2771,0.3235,0.0367,0.3417,-0.4022,0.0676,1.3549,-0.0803,2,-0.0446,0.0002,-0.0094,0.3039,0.2538,156.88
401507153,2023,-8.0,164.0,-0.3121,-0.4202,-49.3,-12.152,1,0,-19.16,4.71,164.14,-0.0834,-0.0034,0.066,-0.0864,-0.0812,3.73,-0.1985,-0.2338,-0.212,-0.2646,-0.7466,-0.0701,2.9556,-0.1691,0,0.051,0.0888,-0.109,0.0858,-0.091,157.65
401507154,2023,-5.0,173.0,-0.2215,-0.1363,-84.3,-2.457,0,0,-11.56,1.47,162.58,0.0061,-0.0547,-0.0775,0.0092,-0.0059,-2.46,0.0097,-0.2889,0.0593,-0.4572,-1.1506,0.0645,-1.6215,0.0122,0,0.0588,-0.2158,-0.1253,-0.2224,-0.3328,157.83
401507155,2023,1.0,149.0,0.1041,0.1033,-4.3,3.62,2,0,1.72,-1.26,167.01,0.0285,-0.0996,-0.0299,-0.0159,-0.0162,0.28,0.0715,0.0432,-0.2335,0.0549,2.1673,0.0052,-0.3099,-0.1753,0,-0.0151,0.0382,-0.11,-0.2676,-0.421,158.25
