season,match,hscore,ascore,odd_home,odd_away
2024,new-york-liberty-atlanta-dream,91,82,1.10,7.31
2024,las-vegas-aces-seattle-storm,78,67,1.21,4.45
2024,connecticut-sun-indiana-fever,93,69,1.37,3.09
2024,minnesota-lynx-phoenix-mercury,102,95,1.17,5.11
2024,new-york-liberty-atlanta-dream,83,69,1.10,7.15
2025,phoenix-mercury-las-vegas-aces,86,97,2.11,1.74
2025,phoenix-mercury-las-vegas-aces,88,90,1.53,2.53
2025,las-vegas-aces-phoenix-mercury,91,78,1.66,2.24
2025,las-vegas-aces-phoenix-mercury,89,86,1.62,2.30
2025,phoenix-mercury-minnesota-lynx,86,81,1.51,2.58
2025,indiana-fever-las-vegas-aces,90,83,2.32,1.61
2025,indiana-fever-las-vegas-aces,72,84,2.42,1.57
2025,phoenix-mercury-minnesota-lynx,84,76,2.44,1.56
2025,las-vegas-aces-indiana-fever,90,68,1.22,4.31
2025,las-vegas-aces-indiana-fever,73,89,1.23,4.20
2025,minnesota-lynx-phoenix-mercury,82,69,1.26,3.92
2025,phoenix-mercury-new-york-liberty,79,73,1.64,2.26
2025,atlanta-dream-indiana-fever,85,87,1.30,3.54
2025,las-vegas-aces-seattle-storm,74,73,1.28,3.65
2025,golden-state-valkyries-minnesota-lynx,74,75,5.28,1.16
2025,new-york-liberty-phoenix-mercury,60,86,1.50,2.60
2025,indiana-fever-atlanta-dream,77,60,2.42,1.57
2025,seattle-storm-las-vegas-aces,86,83,2.68,1.47
2025,las-vegas-aces-seattle-storm,102,77,1.38,3.02
2025,atlanta-dream-indiana-fever,80,68,1.29,3.58
2025,minnesota-lynx-golden-state-valkyries,101,72,1.09,7.22
2026,atlanta-dream-seattle-storm,98,89,1.14,5.56
2026,portland-fire-indiana-fever,98,112,3.60,1.28
2026,washington-mystics-dallas-wings,81,75,2.26,1.63
2026,chicago-sky-connecticut-sun,94,88,1.43,2.81
2026,las-vegas-aces-new-york-liberty,104,99,1.52,2.52
2026,toronto-tempo-minnesota-lynx,72,104,5.98,1.12
2026,dallas-wings-atlanta-dream,81,82,2.02,1.78
2026,phoenix-mercury-golden-state-valkyries,91,89,2.29,1.62
2026,las-vegas-aces-portland-fire,98,83,1.12,6.07
2026,los-angeles-sparks-new-york-liberty,109,113,2.63,1.48
2026,minnesota-lynx-toronto-tempo,100,93,1.06,9.25
2026,seattle-storm-indiana-fever,95,105,4.17,1.22
2026,washington-mystics-connecticut-sun,92,84,1.38,2.98
2026,indiana-fever-connecticut-sun,123,88,1.18,4.72
2026,new-york-liberty-chicago-sky,95,94,1.29,3.57
2026,portland-fire-dallas-wings,97,101,3.22,1.34
2026,washington-mystics-las-vegas-aces,100,99,2.94,1.40
2026,los-angeles-sparks-phoenix-mercury,82,86,1.85,1.94
2026,seattle-storm-minnesota-lynx,76,86,4.61,1.19
2026,golden-state-valkyries-washington-mystics,82,90,1.25,3.90
2026,seattle-storm-minnesota-lynx,102,105,4.30,1.21
2026,toronto-tempo-las-vegas-aces,83,109,4.98,1.17
2026,phoenix-mercury-connecticut-sun,72,63,1.54,2.48
2026,atlanta-dream-chicago-sky,93,91,1.14,5.50
2026,dallas-wings-los-angeles-sparks,90,82,1.24,4.02
2026,golden-state-valkyries-washington-mystics,74,69,1.24,4.04
2026,indiana-fever-new-york-liberty,108,88,2.01,1.79
2026,minnesota-lynx-portland-fire,101,93,1.11,6.48
2026,chicago-sky-los-angeles-sparks,96,82,1.70,2.14
2026,indiana-fever-seattle-storm,110,107,1.24,3.98
2026,phoenix-mercury-connecticut-sun,83,96,1.55,2.44
2026,toronto-tempo-atlanta-dream,92,111,4.42,1.20
2026,washington-mystics-portland-fire,56,75,1.37,3.07
2026,indiana-fever-golden-state-valkyries,75,88,1.69,2.16
2026,chicago-sky-seattle-storm,95,90,1.67,2.18
2026,minnesota-lynx-los-angeles-sparks,96,87,1.16,5.23
2026,toronto-tempo-washington-mystics,62,79,2.04,1.77
2026,atlanta-dream-los-angeles-sparks,101,92,1.24,4.00
2026,connecticut-sun-portland-fire,90,87,1.69,2.16
2026,minnesota-lynx-phoenix-mercury,104,100,1.14,5.58
2026,dallas-wings-chicago-sky,96,91,1.20,4.42
2026,las-vegas-aces-indiana-fever,75,109,1.44,2.78
2026,las-vegas-aces-phoenix-mercury,106,58,1.25,3.87
2026,toronto-tempo-new-york-liberty,93,91,3.23,1.34
2026,washington-mystics-seattle-storm,84,79,1.41,2.90
2026,atlanta-dream-portland-fire,92,102,1.12,6.09
2026,connecticut-sun-golden-state-valkyries,64,79,2.96,1.39
2026,los-angeles-sparks-chicago-sky,102,87,1.83,1.97
2026,minnesota-lynx-new-york-liberty,90,85,1.49,2.61
2026,toronto-tempo-dallas-wings,95,108,3.70,1.27
2026,atlanta-dream-seattle-storm,89,78,1.13,5.70
2026,phoenix-mercury-indiana-fever,89,92,2.00,1.81
2026,portland-fire-las-vegas-aces,80,88,4.41,1.20
2026,connecticut-sun-minnesota-lynx,80,86,3.50,1.30
2026,los-angeles-sparks-indiana-fever,106,92,2.94,1.40
2026,toronto-tempo-golden-state-valkyries,75,83,3.55,1.29
2026,new-york-liberty-dallas-wings,77,88,1.52,2.51
2026,phoenix-mercury-chicago-sky,66,77,1.59,2.35
2026,los-angeles-sparks-seattle-storm,64,82,1.54,2.47
2026,minnesota-lynx-connecticut-sun,89,90,1.12,6.10
2026,washington-mystics-golden-state-valkyries,49,62,3.21,1.35
2026,las-vegas-aces-indiana-fever,68,84,1.65,2.22
2026,seattle-storm-portland-fire,72,77,1.52,2.50
2026,toronto-tempo-dallas-wings,76,89,2.97,1.39
2026,atlanta-dream-golden-state-valkyries,83,88,1.50,2.57
2026,new-york-liberty-minnesota-lynx,99,86,2.15,1.69
2026,connecticut-sun-dallas-wings,83,86,3.24,1.34
2026,phoenix-mercury-seattle-storm,90,67,1.54,2.48
2026,washington-mystics-atlanta-dream,81,76,3.89,1.25
2026,golden-state-valkyries-new-york-liberty,76,67,1.80,2.00
2026,chicago-sky-las-vegas-aces,99,107,3.40,1.31
2026,dallas-wings-minnesota-lynx,77,85,2.29,1.62
2026,indiana-fever-los-angeles-sparks,111,87,1.34,3.21
2026,seattle-storm-atlanta-dream,105,90,3.96,1.24
2026,chicago-sky-portland-fire,124,94,1.40,2.91
2026,connecticut-sun-washington-mystics,68,57,2.36,1.58
2026,golden-state-valkyries-atlanta-dream,78,75,2.05,1.75
2026,toronto-tempo-phoenix-mercury,80,89,1.45,2.73
2026,las-vegas-aces-dallas-wings,99,84,1.40,2.93
2026,seattle-storm-new-york-liberty,99,88,3.92,1.25
2026,toronto-tempo-los-angeles-sparks,125,97,1.91,1.88
2026,chicago-sky-portland-fire,101,78,1.57,2.39
2026,golden-state-valkyries-atlanta-dream,77,66,2.10,1.73
2026,indiana-fever-phoenix-mercury,109,111,1.24,3.95
2026,washington-mystics-minnesota-lynx,76,78,4.05,1.23
2026,las-vegas-aces-new-york-liberty,76,87,1.71,2.13
2026,atlanta-dream-toronto-tempo,94,87,1.07,8.21
2026,connecticut-sun-chicago-sky,92,63,2.33,1.59
2026,indiana-fever-phoenix-mercury,86,77,1.31,3.41
2026,los-angeles-sparks-new-york-liberty,98,97,2.78,1.44
2026,minnesota-lynx-washington-mystics,79,84,1.09,7.11
2026,dallas-wings-chicago-sky,93,92,1.20,4.56
2026,las-vegas-aces-golden-state-valkyries,92,73,1.59,2.34
2026,atlanta-dream-indiana-fever,113,96,1.50,2.56
2026,connecticut-sun-toronto-tempo,97,101,1.76,2.05
2026,golden-state-valkyries-minnesota-lynx,75,81,2.24,1.65
2026,new-york-liberty-washington-mystics,83,86,1.12,6.14
2026,phoenix-mercury-seattle-storm,93,73,1.36,3.08
2026,indiana-fever-atlanta-dream,101,108,1.97,1.82
2026,chicago-sky-new-york-liberty,95,96,4.74,1.18
2026,connecticut-sun-washington-mystics,81,88,1.73,2.10
2026,golden-state-valkyries-dallas-wings,91,80,1.63,2.25
